"code","Latitude","Longitude","Altitude","t.media","t.minima","t.maxima"
83270,-13.47055554,-52.50416666,430,25.4,20.1,33.1
83361,-15.61972221,-56.10833333,145,26.1,21.5,33
83309,-14.4,-56.45,286.3,25.2,20.4,32.7
83264,-12.28833333,-55.29388888,415,25.1,19.8,33.1
83214,-10.25,-54.91666667,285,25.1,19.5,32.7
83319,-14.69777778,-52.35,325,24.8,18.8,33.5
83364,-15.78333333,-56.06666666,140,25.9,21,33.1
83358,-15.83333333,-54.38333333,450,24.1,18.6,32.2
82353,-3.21666666,-52.21666666,74.04,26.9,22.5,32.4
82191,-1.43333333,-48.43333333,10,26.5,22.7,31.8
82246,-2.63333333,-54.95,175.74,25.6,21.2,30.8
82188,-1.68333333,-50.48333333,14.74,26.5,22.6,32
82263,-2.25,-49.5,23.9,27.1,23.3,32.5
82861,-8.26666667,-49.26666667,156.85,26.9,22,33.4
82445,-4.28333333,-55.98333333,45,27.3,23.2,32.8
82562,-5.36666666,-49.13333333,95,27.3,23.2,32.8
82181,-2,-54.1,145.85,26.9,23.5,31.1
82178,-1.91666666,-55.51666666,37,26.9,23.1,31.6
82184,-1.73333333,-52.23333333,15.93,27,23.4,32
82668,-6.63333333,-51.96666666,206,25.5,19.7,32.2
82141,-0.73333333,-48.51666666,10.49,27.6,24.8,31
82145,-1.06666666,-46.9,36,26.2,21.5,31.7
82361,-3.76666666,-49.66666666,40,27.3,23.5,32.8
82696,-6.96666666,-35.68333333,574.62,22.5,19.6,27.3
82795,-7.21666666,-35.88333333,547.56,23.5,20.2,28.8
82798,-7.1,-34.86666666,7.43,26.8,23.7,29.8
82792,-7.88333333,-37.06666666,603.66,24.4,19,31
82791,-7.01666666,-37.26666666,249.09,27.6,22,34.1
82689,-6.75,-38.21666666,233.06,26.6,21.2,33.1
