Despesa por função - urbanismo e habitação - empenhada - municipal
Sigla;Código;Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
AL;2704609;Maravilha;1314399,96;;;1203596,37;2106170,82;1933826,37;3147230,67;11828498,3;8610697,48;11250931,13;6761455,36;
AL;2704708;Marechal Deodoro;25342021,6;30816228,35;32646524,97;16958206,36;27615978,21;32074922,23;33397015,01;27297588,08;48671228,13;77945810,44;114091681,91;
AL;2704807;Maribondo;1916715,09;1616577,65;1797280,9;1924892,55;1911489,53;2163850,43;3700159,72;3536491,34;5987771,57;7203440,61;9133870,37;
AL;2704906;Mar Vermelho;898390,83;1023326,38;712583,43;571237,28;589891,14;541459,06;1022008,33;576281,46;;2563649,91;4048639,95;
AL;2705002;Mata Grande;0;665295,83;297575,97;0;345428,42;360213,1;1692347,82;438803,98;11713894,3;4658416,85;3724968,54;
AL;2705101;Matriz de Camaragibe;1745548,17;1946446,35;788855,17;1669493,54;3288274,53;4791231,12;6875362,23;12930477,17;20982319,56;32001986,85;15046421,77;
AL;2705200;Messias;1786794,74;1674540,57;1990369,19;2874593,48;2168611,03;1987469,39;2747175,87;883562,43;324639,89;263148,8;3466823,59;
AL;2705309;Minador do Negrão;;549415,6;752509,44;562411,54;736097,09;963648,43;2155373,47;2500285,37;3606638,32;2890079,97;4861728,22;
AL;2705408;Monteirópolis;63417,3;97893,24;;476149,4;192003,94;401111,44;577065,34;;2291947,56;1096276,39;1553837,35;
AL;2705507;Murici;3620505,47;3652840,59;3953593,22;3485502,78;3673365,46;4033411,72;6107406,61;8947014,6;11976690,51;11760239,6;33282323,91;
AL;2705606;Novo Lino;620386,92;276274,45;5563886,31;470613,01;402529,26;541928,6;497138,62;180813,62;4654396,32;4670312,39;5601968,69;
AL;2705705;Olho d'Água das Flores;3257911,83;4092560,51;3811922,78;4347404,94;4648132,51;8020513,71;6184975,62;7758075,48;8658077,88;9700794,69;13718759,75;
AL;2705804;Olho d'Água do Casado;206470;0;;94439,47;488184,11;178311,93;732969,28;2641581,79;4817358,13;478269,73;922673,43;
AL;2705903;Olho d'Água Grande;2446945,79;2310928,34;3175606,45;1911683,08;2446979,55;2704951,16;3799978,56;;;;12316310,01;
AL;2706000;Olivença;3559498,05;2613704,98;3646746,12;3851149,7;4052914,83;4742986,46;5105037,84;4458078,73;9054549,07;408746,09;1908706,77;
