Municipio_ID;Municipio_Nome;Sigla_UF;Ano;PIB;Populacao;Receita_Corrente;Receita_Capital;Despesa_Total;Despesa_Assistencia_Previdencia;Despesa_Educacao_Cultura;Despesa_Saude_Saneamento;Despesa_Desportes_Lazer;Despesa_Seguranca_Defesa;Despesa_Trabalho;Despesa_Transporte;Despesa_Urbanismo_Habitacao
2202406;Capitão de Campos;PI;2014;59987000;11208;22342756,91;390960,00;19045800,66;1435161,56;9216381,63;4556529,40;0,00;0,00;0,00;74590,00;1249774,99
2202455;Capitão Gervásio Oliveira;PI;2014;23312000;3993;10390431,79;981760,00;9901653,49;379501,96;3350654,44;2601331,02;173874,89;0,00;0,00;0,00;533912,38
2202505;Caracol;PI;2014;59551000;10588;20199328,20;944642,96;23233408,22;827344,77;11592152,35;5203960,00;282579,37;0,00;0,00;0,00;1144006,52
2202539;Caraúbas do Piauí;PI;2014;35383000;5704;12653363,79;744078,02;12007340,94;592318,17;5927612,28;2480304,72;0,00;0,00;0,00;234712,27;279437,90
2202554;Caridade do Piauí;PI;2014;26020000;4974;12892003,59;1135675,87;13023108,30;774162,75;5598809,02;3398046,34;46302,00;0,00;0,00;30603,00;861189,04
2202604;Castelo do Piauí;PI;2014;111930000;18466;34597230,22;1384574,55;33220677,96;1486607,35;15768916,86;9761721,77;395364,62;26791,87;5068,00;67811,25;0,00
2202653;Caxingó;PI;2014;32554000;5248;12914730,62;28200,00;10992944,67;622844,04;5669570,74;2133923,70;5385,99;0,00;0,00;15525,00;519167,83
2202703;Cocal;PI;2014;156678000;27163;56736789,92;2780099,30;43982622,11;747972,00;21367987,18;11805029,58;170332,85;236272,39;0,00;181017,53;2110735,91
2202711;Cocal de Telha;PI;2014;28956000;4611;12293679,43;382336,75;11505464,78;469860,71;5490682,03;2407835,74;27472,24;0,00;5900,10;19803,75;537901,27
2202729;Cocal dos Alves;PI;2014;31002000;6014;11592467,06;1421436,24;11965512,32;409428,63;5348599,09;3272528,26;2840,00;0,00;0,00;0,00;1010892,56
2202737;Coivaras;PI;2014;23898000;3916;10648564,90;89105,73;10482479,36;353474,90;4173535,65;2127164,48;5593,56;0,00;0,00;249557,14;105367,41
2202752;Colônia do Gurguéia;PI;2014;40623000;6278;14553797,27;979970,33;13027611,56;1109679,54;5701965,60;2838739,81;0,00;0,00;0,00;4776,50;621382,93
2202778;Colônia do Piauí;PI;2014;42328000;7522;14802745,63;606936,81;14061612,82;467073,77;6516406,40;3352765,76;71534,80;0,00;0,00;199804,42;421232,46
2202802;Conceição do Canindé;PI;2014;29799000;4532;10814905,51;1159935,71;11644865,51;410114,08;4891765,59;2756024,06;190400,58;0,00;0,00;26700,00;909756,02
2202851;Coronel José Dias;PI;2014;25324000;4598;11183822,82;523941,79;10631825,57;420354,99;4363081,60;2530135,22;38553,16;0,00;0,00;143179,44;783844,15
2202901;Corrente;PI;2014;246649000;26011;44152299,57;584154,80;41224732,83;2479244,54;17889369,67;9501999,55;114371,85;0,00;0,00;160,00;3664305,20
2203008;Cristalândia do Piauí;PI;2014;40716000;8069;15444652,20;80,58;15084211,95;583436,47;6038320,30;4517017,85;670722,13;0,00;0,00;175452,05;100000,00
2203107;Cristino Castro;PI;2014;77460000;10191;16610190,99;1330192,72;16847455,41;492561,35;7703280,67;5491522,54;8210,00;0,00;0,00;0,00;216806,62
2203206;Curimatá;PI;2014;75759000;11078;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2203230;Currais;PI;2014;121888000;4829;13563849,69;83895,00;12798489,36;385293,07;4722539,44;2859693,59;0,00;0,00;0,00;53230,57;756329,88
2203255;Curralinhos;PI;2014;21847000;4318;10795174,17;59880,00;10788218,40;800537,50;4066412,52;2349461,01;63112,52;0,00;0,00;0,00;453846,01
2203271;Curral Novo do Piauí;PI;2014;24326000;5059;11327328,59;274936,12;11207535,80;600980,49;4865735,95;2397711,27;234604,80;0,00;0,00;13268,00;395966,25
2203305;Demerval Lobão;PI;2014;126095000;13526;18754110,10;1916304,53;21069400,58;619881,85;10403730,95;4325624,37;93009,66;0,00;0,00;39060,33;1146189,27
2203354;Dirceu Arcoverde;PI;2014;32043000;6841;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2203404;Dom Expedito Lopes;PI;2014;49706000;6735;12336537,19;333000,00;11854176,57;1141799,32;4733242,86;2705256,63;274504,80;257,91;67878,35;44945,25;352171,39
2203420;Domingos Mourão;PI;2014;24902000;4291;10979824,38;297777,65;10739768,06;854969,95;4638962,91;2046680,31;6257,96;0,00;0,00;209551,10;459999,38
2203453;Dom Inocêncio;PI;2014;45741000;9376;17231881,39;0,00;19420524,08;1179427,32;7390030,11;5278763,16;514955,52;0,00;38400,00;2385,00;810073,28
2203503;Elesbão Veloso;PI;2014;98234000;14462;23091424,79;901766,86;21745614,53;1099808,62;8788460,96;7348632,34;142769,02;0,00;0,00;66106,50;513535,57
2203602;Eliseu Martins;PI;2014;36406000;4791;10928555,77;782845,58;10922296,33;510684,02;3544389,10;3362893,50;29524,55;0,00;0,00;5900,71;448685,45
2203701;Esperantina;PI;2014;264596000;38749;57156354,45;1403721,34;49082371,43;3287581,38;24773603,24;11594309,73;127245,52;0,00;0,00;0,00;1405025,57
2203750;Fartura do Piauí;PI;2014;24376000;5186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2203800;Flores do Piauí;PI;2014;27845000;4395;10960108,87;1381476,03;11160200,54;468231,26;3701465,20;3001801,31;230006,59;0,00;0,00;56981,03;1188080,00
2203859;Floresta do Piauí;PI;2014;17211000;2513;8436716,33;858212,23;8907885,14;378630,85;2513143,98;2694607,37;0,00;0,00;0,00;64117,45;455448,83
2203909;Floriano;PI;2014;911773000;58702;106088931,06;899809,29;102896974,72;4430771,13;30190714,86;36033022,07;464540,03;0,00;0,00;1639170,60;6205225,60
2204006;Francinópolis;PI;2014;29815000;5268;10231933,61;467835,00;9401338,02;613735,05;3770264,07;2092721,14;24757,17;0,00;0,00;5968,28;154671,59
2204105;Francisco Ayres;PI;2014;28324000;4361;10419418,90;446162,66;9606367,52;492680,60;3319591,42;2741693,12;27391,52;0,00;0,00;8200,00;411148,32
2204154;Francisco Macedo;PI;2014;16557000;3078;8958546,84;903418,82;8708757,48;697710,84;2948317,49;2361132,12;93280,53;0,00;67168,25;3638,75;52706,94
2204204;Francisco Santos;PI;2014;51090000;8993;15313505,96;138800,00;14869260,80;1449989,81;5682148,96;3321379,95;459023,72;0,00;74379,59;12839,23;628880,66
2204303;Fronteiras;PI;2014;235561000;11411;32997281,74;1076800,97;30934674,72;1935414,68;9310980,02;9389484,13;225873,94;97307,00;0,00;1038000,00;2631290,07
2204352;Geminiano;PI;2014;37276000;5298;11042025,03;205530,67;9842858,23;306209,08;3828887,27;2300002,38;25867,90;2200,00;0,00;250670,00;314421,80
2204402;Gilbués;PI;2014;165204000;10509;22374346,16;1427880,87;22279023,22;697030,77;9155310,83;5745685,08;21710,00;0,00;0,00;286417,36;1458747,15
2204501;Guadalupe;PI;2014;240707000;10340;30874562,94;0,00;28622707,89;1021135,79;9062890,00;7917028,00;453594,94;0,00;0,00;0,00;2642717,22
2204550;Guaribas;PI;2014;25877000;4472;13256878,42;0,00;12431695,58;616090,43;5690893,86;2108435,75;97653,00;0,00;0,00;188475,00;670186,61
2204600;Hugo Napoleão;PI;2014;23212000;3811;9427341,40;1198025,09;9584793,61;469695,94;2536924,27;2181982,54;162386,38;0,00;0,00;47619,64;1378611,56
2204659;Ilha Grande;PI;2014;58690000;9176;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2204709;Inhuma;PI;2014;94264000;15032;23268467,22;684498,58;22297698,34;922288,31;8355447,70;6674636,16;302702,47;0,00;0,00;113536,26;1283126,28
2204808;Ipiranga do Piauí;PI;2014;57025000;9569;14902060,40;1015206,59;16877850,06;644851,73;7540588,00;4289462,42;175812,04;253,00;69486,91;41756,93;628695,51
